checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,default
0 - 200 DM,24,Critical account,Car (used),7758,>= 1000 DM,>= 7 years,2,Female : Divorced/Separated/Married,None,4,Unknown / No property,29,None,Rent,1,Skilled employee,1,No,Yes,0
0 - 200 DM,24,Delay in past,Business,6967,100 - 500 DM,4 - 7 years,4,Male : Single,None,4,Car or other,36,None,Rent,1,Management / Highly qualified,1,Yes,Yes,0
< 0 DM,12,Existing paid,Furniture/Equipment,1282,< 100 DM,1 - 4 years,2,Female : Divorced/Separated/Married,None,4,Car or other,20,None,Rent,1,Skilled employee,1,No,Yes,1
< 0 DM,9,Critical account,Repairs,1288,100 - 500 DM,>= 7 years,3,Male : Single,Guarantor,4,Real estate,48,None,Own,2,Skilled employee,2,No,No,0
< 0 DM,12,All paid this bank,Retraining,339,< 100 DM,>= 7 years,4,Male : Married/Widowed,None,1,Car or other,45,Bank,Own,1,Unskilled - resident,1,No,Yes,0
0 - 200 DM,24,Existing paid,Car (new),3512,100 - 500 DM,4 - 7 years,2,Male : Single,None,3,Car or other,38,Bank,Own,2,Skilled employee,1,Yes,Yes,0
No checking account,6,Critical account,Radio/TV,1898,Unknown / No savings,1 - 4 years,1,Male : Single,None,2,Real estate,34,None,Own,2,Unskilled - resident,2,No,Yes,0
No checking account,24,Critical account,Radio/TV,2872,100 - 500 DM,>= 7 years,3,Male : Single,None,4,Real estate,36,None,Own,1,Skilled employee,2,Yes,Yes,0
No checking account,18,Critical account,Car (new),1055,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,1,Building society savings / Life insurance,30,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,15,Existing paid,Domestic appliances,1262,500 - 1000 DM,4 - 7 years,4,Male : Single,None,3,Building society savings / Life insurance,36,None,Own,2,Skilled employee,1,Yes,Yes,0
0 - 200 DM,10,Existing paid,Car (new),7308,< 100 DM,Unemployed,2,Male : Single,None,4,Unknown / No property,70,Bank,Free,1,Management / Highly qualified,1,Yes,Yes,0
No checking account,36,Existing paid,Car (new),909,500 - 1000 DM,>= 7 years,4,Male : Single,None,4,Building society savings / Life insurance,36,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,6,Existing paid,Furniture/Equipment,2978,500 - 1000 DM,1 - 4 years,1,Male : Single,None,2,Car or other,32,None,Own,1,Skilled employee,1,Yes,Yes,0
< 0 DM,18,Existing paid,Furniture/Equipment,1131,< 100 DM,Unemployed,4,Female : Divorced/Separated/Married,None,2,Car or other,33,None,Own,1,Skilled employee,1,No,Yes,1
0 - 200 DM,11,Existing paid,Furniture/Equipment,1577,>= 1000 DM,< 1 year,4,Female : Divorced/Separated/Married,None,1,Real estate,20,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,24,Existing paid,Furniture/Equipment,3972,< 100 DM,4 - 7 years,2,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,25,None,Rent,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,24,Critical account,Business,1935,< 100 DM,>= 7 years,4,Male : Divorced/Separated,None,4,Real estate,31,None,Own,2,Skilled employee,1,Yes,Yes,1
< 0 DM,15,No credits / All paid,Car (new),950,< 100 DM,>= 7 years,4,Male : Single,None,3,Car or other,33,None,Rent,2,Skilled employee,2,No,Yes,1
No checking account,12,Existing paid,Furniture/Equipment,763,< 100 DM,1 - 4 years,4,Female : Divorced/Separated/Married,None,1,Real estate,26,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,24,Delay in past,Furniture/Equipment,2064,< 100 DM,Unemployed,3,Female : Divorced/Separated/Married,None,2,Building society savings / Life insurance,34,None,Own,1,Management / Highly qualified,1,Yes,Yes,1
0 - 200 DM,8,Existing paid,Radio/TV,1414,< 100 DM,1 - 4 years,4,Male : Single,Guarantor,2,Real estate,33,None,Own,1,Skilled employee,1,No,No,0
< 0 DM,21,Delay in past,Education,3414,< 100 DM,< 1 year,2,Male : Single,None,1,Building society savings / Life insurance,26,None,Own,2,Skilled employee,1,No,Yes,1
No checking account,30,All paid this bank,Car (used),7485,Unknown / No savings,Unemployed,4,Female : Divorced/Separated/Married,None,1,Real estate,53,Bank,Own,1,Management / Highly qualified,1,Yes,Yes,1
< 0 DM,12,Existing paid,Furniture/Equipment,2577,< 100 DM,1 - 4 years,2,Male : Divorced/Separated,None,1,Car or other,42,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,6,Critical account,Radio/TV,338,500 - 1000 DM,>= 7 years,4,Male : Single,None,4,Car or other,52,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,12,Existing paid,Radio/TV,1963,< 100 DM,4 - 7 years,4,Male : Single,None,2,Car or other,31,None,Rent,2,Management / Highly qualified,2,Yes,Yes,0
< 0 DM,21,Critical account,Car (new),571,< 100 DM,>= 7 years,4,Male : Single,None,4,Real estate,65,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,36,Delay in past,Business,9572,< 100 DM,< 1 year,1,Male : Divorced/Separated,None,1,Car or other,28,None,Own,2,Skilled employee,1,No,Yes,1
0 - 200 DM,36,Delay in past,Business,4455,< 100 DM,1 - 4 years,2,Male : Divorced/Separated,None,2,Real estate,30,Stores,Own,2,Management / Highly qualified,1,Yes,Yes,1
< 0 DM,21,All paid this bank,Car (new),1647,Unknown / No savings,1 - 4 years,4,Male : Single,None,2,Building society savings / Life insurance,40,None,Own,2,Unskilled - resident,2,No,Yes,1
No checking account,24,Critical account,Furniture/Equipment,3777,>= 1000 DM,1 - 4 years,4,Male : Single,None,4,Real estate,50,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,18,Critical account,Car (new),884,< 100 DM,>= 7 years,4,Male : Single,None,4,Car or other,36,Bank,Own,1,Skilled employee,2,Yes,Yes,1
No checking account,15,Critical account,Radio/TV,1360,< 100 DM,1 - 4 years,4,Male : Single,None,2,Building society savings / Life insurance,31,None,Own,2,Skilled employee,1,No,Yes,0
0 - 200 DM,9,All paid this bank,Car (used),5129,< 100 DM,>= 7 years,2,Female : Divorced/Separated/Married,None,4,Unknown / No property,74,Bank,Free,1,Management / Highly qualified,2,Yes,Yes,1
0 - 200 DM,16,Critical account,Car (new),1175,< 100 DM,Unemployed,2,Male : Single,None,3,Car or other,68,None,Free,3,Unemployed / Unskilled - non-resident,1,Yes,Yes,0
< 0 DM,12,Existing paid,Radio/TV,674,100 - 500 DM,4 - 7 years,4,Male : Married/Widowed,None,1,Building society savings / Life insurance,20,None,Own,1,Skilled employee,1,No,Yes,1
0 - 200 DM,18,No credits / All paid,Furniture/Equipment,3244,< 100 DM,1 - 4 years,1,Female : Divorced/Separated/Married,None,4,Car or other,33,Bank,Own,2,Skilled employee,1,Yes,Yes,0
No checking account,24,Existing paid,Business,4591,>= 1000 DM,1 - 4 years,2,Male : Single,None,3,Building society savings / Life insurance,54,None,Own,3,Management / Highly qualified,1,Yes,Yes,1
0 - 200 DM,48,No credits / All paid,Business,3844,100 - 500 DM,4 - 7 years,4,Male : Single,None,4,Unknown / No property,34,None,Free,1,Unskilled - resident,2,No,Yes,1
0 - 200 DM,27,Existing paid,Business,3915,< 100 DM,1 - 4 years,4,Male : Single,None,2,Car or other,36,None,Own,1,Skilled employee,2,Yes,Yes,1
No checking account,6,Existing paid,Radio/TV,2108,< 100 DM,4 - 7 years,2,Male : Married/Widowed,None,2,Real estate,29,None,Rent,1,Skilled employee,1,No,Yes,0
0 - 200 DM,45,Existing paid,Radio/TV,3031,100 - 500 DM,1 - 4 years,4,Male : Single,Guarantor,4,Building society savings / Life insurance,21,None,Rent,1,Skilled employee,1,No,Yes,1
0 - 200 DM,9,Critical account,Education,1501,< 100 DM,>= 7 years,2,Female : Divorced/Separated/Married,None,3,Car or other,34,None,Own,2,Management / Highly qualified,1,Yes,Yes,1
No checking account,6,Critical account,Radio/TV,1382,< 100 DM,1 - 4 years,1,Female : Divorced/Separated/Married,None,1,Car or other,28,None,Own,2,Skilled employee,1,Yes,Yes,0
0 - 200 DM,12,Existing paid,Furniture/Equipment,951,100 - 500 DM,< 1 year,4,Female : Divorced/Separated/Married,None,4,Car or other,27,Bank,Rent,4,Skilled employee,1,No,Yes,1
0 - 200 DM,24,Existing paid,Car (used),2760,Unknown / No savings,>= 7 years,4,Male : Single,None,4,Unknown / No property,36,Bank,Free,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,18,Delay in past,Furniture/Equipment,4297,< 100 DM,>= 7 years,4,Male : Divorced/Separated,None,3,Unknown / No property,40,None,Own,1,Management / Highly qualified,1,Yes,Yes,1
No checking account,9,Critical account,Education,936,500 - 1000 DM,>= 7 years,4,Male : Single,None,2,Car or other,52,None,Own,2,Skilled employee,1,Yes,Yes,0
< 0 DM,12,Existing paid,Car (new),1168,< 100 DM,1 - 4 years,4,Male : Married/Widowed,None,3,Real estate,27,None,Own,1,Unskilled - resident,1,No,Yes,0
No checking account,27,Delay in past,Business,5117,< 100 DM,4 - 7 years,3,Male : Single,None,4,Car or other,26,None,Own,2,Skilled employee,1,No,Yes,0
< 0 DM,12,Existing paid,Retraining,902,< 100 DM,4 - 7 years,4,Male : Married/Widowed,None,4,Building society savings / Life insurance,21,None,Rent,1,Skilled employee,1,No,Yes,1
No checking account,12,Critical account,Car (new),1495,< 100 DM,>= 7 years,4,Male : Single,None,1,Real estate,38,None,Own,2,Unskilled - resident,2,No,Yes,0
< 0 DM,30,Critical account,Car (used),10623,< 100 DM,>= 7 years,3,Male : Single,None,4,Unknown / No property,38,None,Free,3,Management / Highly qualified,2,Yes,Yes,0
No checking account,12,Critical account,Furniture/Equipment,1935,< 100 DM,>= 7 years,4,Male : Single,None,4,Real estate,43,None,Own,3,Skilled employee,1,Yes,Yes,0
0 - 200 DM,12,Critical account,Domestic appliances,1424,< 100 DM,4 - 7 years,4,Male : Single,None,3,Building society savings / Life insurance,26,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,24,Existing paid,Business,6568,< 100 DM,1 - 4 years,2,Male : Married/Widowed,None,2,Car or other,21,Stores,Own,1,Unskilled - resident,1,No,Yes,0
No checking account,12,Existing paid,Car (used),1413,>= 1000 DM,4 - 7 years,3,Male : Single,None,2,Building society savings / Life insurance,55,None,Own,1,Skilled employee,1,No,No,0
No checking account,9,Critical account,Radio/TV,3074,Unknown / No savings,1 - 4 years,1,Male : Single,None,2,Real estate,33,None,Own,2,Skilled employee,2,No,Yes,0
No checking account,36,Existing paid,Radio/TV,3835,Unknown / No savings,>= 7 years,2,Female : Divorced/Separated/Married,None,4,Real estate,45,None,Own,1,Unskilled - resident,1,Yes,Yes,0
< 0 DM,27,No credits / All paid,Business,5293,< 100 DM,Unemployed,2,Male : Single,None,4,Building society savings / Life insurance,50,Stores,Own,2,Skilled employee,1,Yes,Yes,1
>= 200 DM,30,Delay in past,Business,1908,< 100 DM,>= 7 years,4,Male : Single,None,4,Real estate,66,None,Own,1,Management / Highly qualified,1,Yes,Yes,1
No checking account,36,Critical account,Radio/TV,3342,Unknown / No savings,>= 7 years,4,Male : Single,None,2,Car or other,51,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,6,Critical account,Retraining,932,Unknown / No savings,4 - 7 years,1,Female : Divorced/Separated/Married,None,3,Building society savings / Life insurance,39,None,Own,2,Unskilled - resident,1,No,Yes,0
< 0 DM,18,No credits / All paid,Business,3104,< 100 DM,4 - 7 years,3,Male : Single,None,1,Building society savings / Life insurance,31,Bank,Own,1,Skilled employee,1,Yes,Yes,0
>= 200 DM,36,Existing paid,Radio/TV,3913,< 100 DM,1 - 4 years,2,Male : Single,None,2,Real estate,23,None,Own,1,Skilled employee,1,Yes,Yes,0
< 0 DM,24,Existing paid,Furniture/Equipment,3021,< 100 DM,1 - 4 years,2,Male : Divorced/Separated,None,2,Real estate,24,None,Rent,1,Unskilled - resident,1,No,Yes,0
No checking account,10,Existing paid,Car (new),1364,< 100 DM,1 - 4 years,2,Female : Divorced/Separated/Married,None,4,Car or other,64,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,12,Existing paid,Radio/TV,625,< 100 DM,< 1 year,4,Male : Married/Widowed,Guarantor,1,Real estate,26,Bank,Own,1,Unskilled - resident,1,No,Yes,0
< 0 DM,12,Existing paid,Education,1200,Unknown / No savings,1 - 4 years,4,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,23,Bank,Rent,1,Skilled employee,1,Yes,Yes,0
No checking account,12,Existing paid,Radio/TV,707,< 100 DM,1 - 4 years,4,Male : Single,None,2,Real estate,30,Bank,Own,2,Skilled employee,1,No,Yes,0
No checking account,24,Delay in past,Business,2978,Unknown / No savings,1 - 4 years,4,Male : Single,None,4,Real estate,32,None,Own,2,Skilled employee,2,Yes,Yes,0
No checking account,15,Existing paid,Car (used),4657,< 100 DM,1 - 4 years,3,Male : Single,None,2,Car or other,30,None,Own,1,Skilled employee,1,Yes,Yes,0
No checking account,36,No credits / All paid,Repairs,2613,< 100 DM,1 - 4 years,4,Male : Single,None,2,Car or other,27,None,Own,2,Skilled employee,1,No,Yes,0
0 - 200 DM,48,Existing paid,Radio/TV,10961,>= 1000 DM,4 - 7 years,1,Male : Single,Co-applicant,2,Unknown / No property,27,Bank,Own,2,Skilled employee,1,Yes,Yes,1
< 0 DM,12,Existing paid,Furniture/Equipment,7865,< 100 DM,>= 7 years,4,Male : Single,None,4,Unknown / No property,53,None,Free,1,Management / Highly qualified,1,Yes,Yes,1
No checking account,9,Existing paid,Radio/TV,1478,< 100 DM,4 - 7 years,4,Male : Single,None,2,Car or other,22,None,Own,1,Skilled employee,1,No,Yes,1
< 0 DM,24,Existing paid,Furniture/Equipment,3149,< 100 DM,< 1 year,4,Male : Single,None,1,Unknown / No property,22,Bank,Free,1,Skilled employee,1,No,Yes,0
>= 200 DM,36,Existing paid,Radio/TV,4210,< 100 DM,1 - 4 years,4,Male : Single,None,2,Car or other,26,None,Own,1,Skilled employee,1,No,Yes,1
No checking account,9,Existing paid,Car (new),2507,500 - 1000 DM,>= 7 years,2,Male : Single,None,4,Unknown / No property,51,None,Free,1,Unskilled - resident,1,No,Yes,0
No checking account,12,Existing paid,Radio/TV,2141,100 - 500 DM,4 - 7 years,3,Male : Single,None,1,Unknown / No property,35,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,18,Existing paid,Radio/TV,866,< 100 DM,1 - 4 years,4,Male : Married/Widowed,Guarantor,2,Real estate,25,None,Own,1,Unskilled - resident,1,No,Yes,0
No checking account,4,Critical account,Radio/TV,1544,< 100 DM,4 - 7 years,2,Male : Single,None,1,Real estate,42,None,Own,3,Unskilled - resident,2,No,Yes,0
< 0 DM,24,Existing paid,Radio/TV,1823,< 100 DM,Unemployed,4,Male : Single,None,2,Car or other,30,Stores,Own,1,Management / Highly qualified,2,No,Yes,1
0 - 200 DM,6,Existing paid,Car (new),14555,Unknown / No savings,Unemployed,1,Male : Single,None,2,Building society savings / Life insurance,23,None,Own,1,Unemployed / Unskilled - non-resident,1,Yes,Yes,1
0 - 200 DM,21,Existing paid,Business,2767,100 - 500 DM,>= 7 years,4,Male : Divorced/Separated,None,2,Car or other,61,Bank,Rent,2,Unskilled - resident,1,No,Yes,1
No checking account,12,Critical account,Radio/TV,1291,< 100 DM,1 - 4 years,4,Female : Divorced/Separated/Married,None,2,Building society savings / Life insurance,35,None,Own,2,Skilled employee,1,No,Yes,0
< 0 DM,30,Existing paid,Radio/TV,2522,< 100 DM,>= 7 years,1,Male : Single,Guarantor,3,Building society savings / Life insurance,39,None,Own,1,Skilled employee,2,No,Yes,0
< 0 DM,24,Existing paid,Car (new),915,Unknown / No savings,>= 7 years,4,Female : Divorced/Separated/Married,None,2,Car or other,29,Bank,Own,1,Skilled employee,1,No,Yes,1
No checking account,6,Existing paid,Radio/TV,1595,< 100 DM,4 - 7 years,3,Male : Single,None,2,Building society savings / Life insurance,51,None,Own,1,Skilled employee,2,No,Yes,0
< 0 DM,48,No credits / All paid,Car (used),4605,< 100 DM,>= 7 years,3,Male : Single,None,4,Unknown / No property,24,None,Free,2,Skilled employee,2,No,Yes,1
No checking account,12,Critical account,Business,1185,< 100 DM,1 - 4 years,3,Female : Divorced/Separated/Married,None,2,Real estate,27,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,12,All paid this bank,Retraining,3447,500 - 1000 DM,1 - 4 years,4,Female : Divorced/Separated/Married,None,3,Real estate,35,None,Own,1,Unskilled - resident,2,No,Yes,0
No checking account,24,Existing paid,Business,1258,< 100 DM,4 - 7 years,4,Male : Single,None,1,Real estate,25,None,Own,1,Skilled employee,1,Yes,Yes,0
No checking account,12,Critical account,Radio/TV,717,< 100 DM,>= 7 years,4,Male : Single,None,4,Real estate,52,None,Own,3,Skilled employee,1,No,Yes,0
No checking account,6,No credits / All paid,Car (new),1204,100 - 500 DM,1 - 4 years,4,Male : Single,None,1,Unknown / No property,35,Bank,Rent,1,Skilled employee,1,No,No,0
>= 200 DM,24,Existing paid,Furniture/Equipment,1925,< 100 DM,1 - 4 years,2,Male : Single,None,2,Real estate,26,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,18,Existing paid,Radio/TV,433,< 100 DM,Unemployed,3,Female : Divorced/Separated/Married,Co-applicant,4,Real estate,22,None,Rent,1,Skilled employee,1,No,Yes,1
< 0 DM,6,Critical account,Car (new),666,>= 1000 DM,4 - 7 years,3,Female : Divorced/Separated/Married,None,4,Real estate,39,None,Own,2,Unskilled - resident,1,Yes,Yes,0
>= 200 DM,12,Existing paid,Furniture/Equipment,2251,< 100 DM,1 - 4 years,1,Female : Divorced/Separated/Married,None,2,Car or other,46,None,Own,1,Unskilled - resident,1,No,Yes,0
0 - 200 DM,30,Existing paid,Car (new),2150,< 100 DM,1 - 4 years,4,Female : Divorced/Separated/Married,Guarantor,2,Unknown / No property,24,Bank,Own,1,Skilled employee,1,No,Yes,1
No checking account,24,Delay in past,Furniture/Equipment,4151,100 - 500 DM,1 - 4 years,2,Male : Single,None,3,Building society savings / Life insurance,35,None,Own,2,Skilled employee,1,No,Yes,0
0 - 200 DM,9,Existing paid,Furniture/Equipment,2030,Unknown / No savings,4 - 7 years,2,Male : Single,None,1,Car or other,24,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,60,Delay in past,Radio/TV,7418,Unknown / No savings,1 - 4 years,1,Male : Single,None,1,Real estate,27,None,Own,1,Unskilled - resident,1,No,Yes,0
No checking account,24,Critical account,Radio/TV,2684,< 100 DM,1 - 4 years,4,Male : Single,None,2,Real estate,35,None,Own,2,Unskilled - resident,1,No,Yes,0
< 0 DM,12,All paid this bank,Radio/TV,2149,< 100 DM,1 - 4 years,4,Male : Divorced/Separated,None,1,Unknown / No property,29,None,Free,1,Skilled employee,1,No,Yes,1
No checking account,15,Existing paid,Car (used),3812,100 - 500 DM,< 1 year,1,Female : Divorced/Separated/Married,None,4,Car or other,23,None,Own,1,Skilled employee,1,Yes,Yes,0
No checking account,11,Critical account,Radio/TV,1154,100 - 500 DM,Unemployed,4,Female : Divorced/Separated/Married,None,4,Real estate,57,None,Own,3,Unskilled - resident,1,No,Yes,0
< 0 DM,12,Existing paid,Furniture/Equipment,1657,< 100 DM,1 - 4 years,2,Male : Single,None,2,Real estate,27,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,24,Existing paid,Radio/TV,1603,< 100 DM,>= 7 years,4,Female : Divorced/Separated/Married,None,4,Car or other,55,None,Own,1,Skilled employee,1,No,Yes,0
< 0 DM,18,Critical account,Car (new),5302,< 100 DM,>= 7 years,2,Male : Single,None,4,Unknown / No property,36,None,Free,3,Management / Highly qualified,1,Yes,Yes,0
No checking account,12,Critical account,Education,2748,< 100 DM,>= 7 years,2,Female : Divorced/Separated/Married,None,4,Unknown / No property,57,Bank,Free,3,Unskilled - resident,1,No,Yes,0
No checking account,10,Critical account,Car (new),1231,< 100 DM,>= 7 years,3,Male : Single,None,4,Real estate,32,None,Own,2,Unskilled - resident,2,No,No,0
0 - 200 DM,15,Existing paid,Radio/TV,802,< 100 DM,>= 7 years,4,Male : Single,None,3,Car or other,37,None,Own,1,Skilled employee,2,No,Yes,1
No checking account,36,Critical account,Business,6304,Unknown / No savings,>= 7 years,4,Male : Single,None,4,Real estate,36,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,24,Existing paid,Radio/TV,1533,< 100 DM,< 1 year,4,Female : Divorced/Separated/Married,None,3,Car or other,38,Stores,Own,1,Skilled employee,1,Yes,Yes,0
< 0 DM,14,Existing paid,Car (new),8978,< 100 DM,>= 7 years,1,Male : Divorced/Separated,None,4,Building society savings / Life insurance,45,None,Own,1,Management / Highly qualified,1,Yes,No,1
No checking account,24,Existing paid,Radio/TV,999,Unknown / No savings,>= 7 years,4,Male : Single,None,2,Car or other,25,None,Own,2,Skilled employee,1,No,Yes,0
No checking account,18,Existing paid,Car (new),2662,Unknown / No savings,4 - 7 years,4,Male : Single,None,3,Building society savings / Life insurance,32,None,Own,1,Skilled employee,1,No,No,0
No checking account,12,Critical account,Furniture/Equipment,1402,500 - 1000 DM,4 - 7 years,3,Female : Divorced/Separated/Married,None,4,Car or other,37,None,Rent,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,48,All paid this bank,Car (new),12169,Unknown / No savings,Unemployed,4,Male : Single,Co-applicant,4,Unknown / No property,36,None,Free,1,Management / Highly qualified,1,Yes,Yes,0
0 - 200 DM,48,Existing paid,Radio/TV,3060,< 100 DM,4 - 7 years,4,Male : Single,None,4,Real estate,28,None,Own,2,Skilled employee,1,No,Yes,1
< 0 DM,30,Existing paid,Repairs,11998,< 100 DM,< 1 year,1,Male : Divorced/Separated,None,1,Unknown / No property,34,None,Own,1,Unskilled - resident,1,Yes,Yes,1
No checking account,9,Existing paid,Radio/TV,2697,< 100 DM,1 - 4 years,1,Male : Single,None,2,Real estate,32,None,Own,1,Skilled employee,2,No,Yes,0
No checking account,18,Critical account,Radio/TV,2404,< 100 DM,1 - 4 years,2,Female : Divorced/Separated/Married,None,2,Car or other,26,None,Own,2,Skilled employee,1,No,Yes,0
< 0 DM,12,Existing paid,Furniture/Equipment,1262,Unknown / No savings,>= 7 years,2,Male : Divorced/Separated,None,4,Building society savings / Life insurance,49,None,Own,1,Unskilled - resident,1,Yes,Yes,0
No checking account,6,Existing paid,Furniture/Equipment,4611,< 100 DM,< 1 year,1,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,32,None,Own,1,Skilled employee,1,No,Yes,1
No checking account,24,Existing paid,Radio/TV,1901,100 - 500 DM,1 - 4 years,4,Male : Single,None,4,Car or other,29,None,Rent,1,Management / Highly qualified,1,Yes,Yes,0
No checking account,15,Critical account,Car (used),3368,>= 1000 DM,>= 7 years,3,Male : Single,None,4,Unknown / No property,23,None,Rent,2,Skilled employee,1,Yes,Yes,0
No checking account,12,Existing paid,Furniture/Equipment,1574,< 100 DM,1 - 4 years,4,Male : Single,None,2,Real estate,50,None,Own,1,Skilled employee,1,No,Yes,0
>= 200 DM,18,All paid this bank,Radio/TV,1445,Unknown / No savings,4 - 7 years,4,Male : Single,None,4,Car or other,49,Bank,Own,1,Unskilled - resident,1,No,Yes,0
No checking account,15,Critical account,Furniture/Equipment,1520,Unknown / No savings,>= 7 years,4,Male : Single,None,4,Building society savings / Life insurance,63,None,Own,1,Skilled employee,1,No,Yes,0
0 - 200 DM,24,Critical account,Car (new),3878,100 - 500 DM,< 1 year,4,Male : Divorced/Separated,None,2,Car or other,37,None,Own,1,Skilled employee,1,Yes,Yes,0
< 0 DM,47,Existing paid,Car (new),10722,< 100 DM,< 1 year,1,Female : Divorced/Separated/Married,None,1,Real estate,35,None,Own,1,Unskilled - resident,1,Yes,Yes,0
< 0 DM,48,Existing paid,Car (used),4788,< 100 DM,4 - 7 years,4,Male : Single,None,3,Building society savings / Life insurance,26,None,Own,1,Skilled employee,2,No,Yes,0
0 - 200 DM,48,Delay in past,Others,7582,100 - 500 DM,Unemployed,2,Male : Single,None,4,Unknown / No property,31,None,Free,1,Management / Highly qualified,1,Yes,Yes,0
0 - 200 DM,12,Existing paid,Radio/TV,1092,< 100 DM,1 - 4 years,4,Female : Divorced/Separated/Married,Guarantor,4,Real estate,49,None,Own,2,Skilled employee,1,Yes,Yes,0
< 0 DM,24,Delay in past,Radio/TV,1024,< 100 DM,< 1 year,4,Male : Married/Widowed,None,4,Real estate,48,Stores,Own,1,Skilled employee,1,No,Yes,1
No checking account,12,Existing paid,Business,1076,< 100 DM,1 - 4 years,2,Male : Married/Widowed,None,2,Real estate,26,None,Own,1,Skilled employee,1,Yes,No,0
0 - 200 DM,36,Existing paid,Car (used),9398,< 100 DM,< 1 year,1,Male : Married/Widowed,None,4,Car or other,28,None,Rent,1,Management / Highly qualified,1,Yes,Yes,1
< 0 DM,24,Critical account,Car (used),6419,< 100 DM,>= 7 years,2,Female : Divorced/Separated/Married,None,4,Unknown / No property,44,None,Free,2,Management / Highly qualified,2,Yes,Yes,0
>= 200 DM,42,Critical account,Car (used),4796,< 100 DM,>= 7 years,4,Male : Single,None,4,Unknown / No property,56,None,Free,1,Skilled employee,1,No,Yes,0
No checking account,48,Critical account,Business,7629,Unknown / No savings,>= 7 years,4,Male : Divorced/Separated,None,2,Car or other,46,Bank,Own,2,Management / Highly qualified,2,No,Yes,0
0 - 200 DM,48,Existing paid,Furniture/Equipment,9960,< 100 DM,< 1 year,1,Female : Divorced/Separated/Married,None,2,Car or other,26,None,Own,1,Skilled employee,1,Yes,Yes,1
No checking account,12,Existing paid,Car (used),4675,Unknown / No savings,< 1 year,1,Female : Divorced/Separated/Married,None,4,Car or other,20,None,Rent,1,Skilled employee,1,No,Yes,0
No checking account,10,Existing paid,Car (new),1287,Unknown / No savings,>= 7 years,4,Male : Single,Co-applicant,2,Building society savings / Life insurance,45,None,Own,1,Unskilled - resident,1,No,No,0
No checking account,18,Existing paid,Furniture/Equipment,2515,< 100 DM,1 - 4 years,3,Male : Single,None,4,Real estate,43,None,Own,1,Skilled employee,1,Yes,Yes,0
0 - 200 DM,21,Critical account,Furniture/Equipment,2745,>= 1000 DM,4 - 7 years,3,Male : Single,None,2,Car or other,32,None,Own,2,Skilled employee,1,Yes,Yes,0
No checking account,6,Existing paid,Car (new),672,< 100 DM,Unemployed,1,Female : Divorced/Separated/Married,None,4,Real estate,54,None,Own,1,Unemployed / Unskilled - non-resident,1,Yes,Yes,0
0 - 200 DM,36,No credits / All paid,Radio/TV,3804,< 100 DM,1 - 4 years,4,Female : Divorced/Separated/Married,None,1,Car or other,42,None,Own,1,Skilled employee,1,Yes,Yes,1
>= 200 DM,24,Critical account,Car (new),1344,Unknown / No savings,4 - 7 years,4,Male : Single,None,2,Real estate,37,Bank,Own,2,Unskilled - resident,2,No,Yes,1
< 0 DM,10,Critical account,Car (new),1038,< 100 DM,4 - 7 years,4,Male : Single,Co-applicant,3,Building society savings / Life insurance,49,None,Own,2,Skilled employee,1,Yes,Yes,0
No checking account,48,Critical account,Car (new),10127,500 - 1000 DM,1 - 4 years,2,Male : Single,None,2,Unknown / No property,44,Bank,Free,1,Skilled employee,1,No,Yes,1
No checking account,6,Existing paid,Furniture/Equipment,1543,>= 1000 DM,1 - 4 years,4,Male : Divorced/Separated,None,2,Real estate,33,None,Own,1,Skilled employee,1,No,Yes,0
No checking account,30,Existing paid,Car (used),4811,Unknown / No savings,4 - 7 years,2,Female : Divorced/Separated/Married,None,4,Building society savings / Life insurance,24,Stores,Rent,1,Unskilled - resident,1,No,Yes,0
